,name_en,desc_en,model_id,product_number,product_additional,product_number_source_type
682,Mi Music Alarm Clock,Bluetooth speaker with clock and alarm function,onemore.soundbox.sm001,,,
683,Zhanxiu Crystal Love intelligent lamp,DBS-non-isolated,odds.light.wy0a01,,,
684,Xiaomi AIoT router AC2350,,xiaomi.router.r2350,AC2350,,manual
685,Royal (AI Yu Yin) 3P,"erp code: 50.01.01.02.0017
69 yards: 6923185612384
Product model: KFRd-72LW/K2YB2-A1",viomi.aircondition.v29,KFRd-72LW/K2YB2-A1,,auto
686,Rokid Panda,"Rokid Panda is Ruoqi's new generation of smart speakers, which are mainly sold in operator channels and come in a variety of colors.",rokid.robot.panda0,,,
687,Mi Universal Remote,Mi Universal Remote,chuangmi.ir.v2,NDZ-08-GA,"Rev1, Mi logo (don’t mess with MJYKQ01CM that have Mijia logo)",manual
688,Mi LED Desk Lamp,Mijia table lamp,yeelink.light.lamp1,,,
689,Smart Wall Switch H1 (Single FireWire Three Button Version),,lumi.switch.l3acn1,,,
690,M-YF6003 SmartBathHeater,Eight-key Yuba improved version,roome.bhf_light.yf6005,,,
691,Mi Smart Power Plug,Xiaomi Smart Socket,chuangmi.plug.v1,ZNCZ05CM/GMR4015GL/X22002,,manual
692,Set-top box infrared remote control,IR-BOX set-top box remote control,kiwik.stb.iriptv,,,
693,Yeelight LED Ceiling Light,Yeelight LED ceiling light EOS Pro,yeelink.light.ceiling4,YLXD02YL,Yeelight Ceiling Light (Jiaoyue 650),manual
694,floor heat,"Suitable for water floor heating central air conditioning, water floor heating central air conditioning (3h1) and electric floor heating central air conditioning",uiot.aircondition.air2,,,
695,Light,"Smart Bulb Lights are a smart LED lamp product that our company uses WiFi control technology independently developed.The smart bulb lamp is mainly for adults with certain requirements for life and a young man who has certain exploration capabilities for fresh things. She can be flexible in the living room, study, bedroom and other home scene, with different styles of lampshade, suitableIn different homes, effectively improve the quality of life, soothing atmosphere, so that users can better enjoy the fun of smart products to our lives, and users can implement many functions in the smart terminal to install the corresponding APP, truly understand the intelligenceThe product is comfortable and convenient for life.
The APP supports the heart control, the game interacts multiple functions, combines traditional switch to switch light scene, which is very convenient and fast.",chuan.light.0800,,,
696,2-position dimmer switch,I7 2-position dimmer switch,simon.light.2light,,,
697,Xiaohui Electric Light,Lights with only switches,maxway.light.l02,,,
698,Syniot Curtain,"Electric curtain motor supports forward and reverse rotation, stroke definition, soft start, and stop function.",syniot.curtain.syc1,DJ0382-XM,?,manual
699,stb,Set-top box,cgzn.stb.stb,,,
700,light,,giz.light.clight,,,
701,Infrared air conditioner,Infrared air conditioner,konke2.aircondition.rmair,,,
702,AIR QUALITY TESTER,"Formaldehyde detector suitable for home use
formaldehyde
TVOC
temperature
humidity",fbs.airmonitor.pth02,,,
703,ROIDMI Cordless Vacuum Cleaner NEX2 Pro,Wireless handheld vacuum cleaner,roidmi.cleaner.v382,,,
704,Mi Mural TV 65,"Mi TV 65-inch mural TV, support speaker function after the TV is turned off",xiaomi.tv.h1,,,
705,Shake Light (DIM Large Version-Remote Control Version),,ldsn.light.3ygd05,,,
706,EMG Top halo ceiling lamp,EMG upper halo ceiling light,ymj.light.wyymj1,,,
707,fan,,zeroy.fan.m93,,,
708,Smart Light Group,"Lamp group with [switch, brightness, color temperature] function",mijia.light.group3,,,
709,King 1S,1.5P on-hook KFRd-35GW/KV1-C1,viomi.aircondition.v8,KFRd-35GW/KV1-C1,,auto
710,SLR Camera Remote Control,Mijia SLR infrared remote control,miir.camera.ir01,,,
711,Pulishi Intelligent Dehumidifying Clothes Dryer,,purest.derh.bossp1,,,
712,light,light,ecloud.light.elight,,,
713,Viomi Smart Gas Water Heater Mate 16L,MIOT-SPEC,viomi.waterheater.u32,,,
714,MLS LED Smart Ceiling Lamp2,,mls.light.mls002,,,
715,Smyoo Light,Smart light,smyoo.light.light01,,,
716,Mijia Philips Color Bulb,Philips Zhirui Color Bulb Light,philips.light.cbulb,,,
717,Intelligent plantar massager,Smart Foot Massager SX300,rotai.magic_touch.sx300,,,
718,352WaterPurifierS100,S100 Water Purifier Mijia Edition,bj352.waterpuri.s100cm,,,
719,Yeelight LED Smart Pendant Light,Yeelight LED Smart Chandelier,yeelink.light.ceil30,,,
720,Circle kitchen ultra-thin Internet electric water heater,,xckj.waterheater.int02,,,
721,TV,,hbkj1.tv.v1,,,
722,IMILAB Smart switch K1-A,Xiaobai Smart Switch Bluetooth Mesh Zero Fire Single Button Version,chuangmi.switch.mesh,,,
723,Xi Zhi Xi Intelligent Lamp,Xizhixi Smart Light,xzx.light.wyxzx1,,,
724,intelligent cooking robot,Unmanned cooking intelligent rice cooking robot,dicook.cooker.wfz4003,,,
725,RANRES smart tracker,,minuo.tracker.lm001,,,
726,Airdog X7 (M) air purifier,,airdog.airpurifier.x7,,,
727,Qinghe Smart Light,DBS non-isolated,qhzm.light.wy0a01,,,
728,Mijia projector TYY01ZM,LED light source Mijia projector,zimi.projector.v1,,,
729,Wi-Fi smart socket,,tenda.plug.sp3,,,
730,Fresh air,,dnake.airfresh.fair,,,
731,Gosund Smart Plug,Participate in the activities of Xiaomi Mall,cuco.plug.cp1,CP1,,manual
732,Xun Kids Smartwatch A2,Xiaoxun Children's Phone Watch A2,xiaoxun.watch.v7,,,
733,ROIDMI Cordless Vacuum Cleaner NEX2,Rui rice wireless vacuum cleaner NEX2 | NEX VX | NEX2 PLUS is all of this series,roidmi.cleaner.v2,,,
734,Bit four-button weak current switch,,btzn.switch.4key,,,
735,VIOMI ALPHA-UV,,viomi.vacuum.v21,,,
736,Remote control master-wifi to infrared-air conditioner,Remote control master-wifi to infrared-air conditioner,zhihw.aircondition.yk7,,,
737,LED strip with controller,LED dimming controller LED strip controller 8 5,uiot.light.light7,,,
738,IMILAB Smart switch K1-B,Xiaobai Smart Switch Bluetooth Mesh Version Zero Fire Double Button,chuangmi.switch.meshb01,,,
739,Viomi Internet Gas Water Heater Zero (13L Zero Cold Water),Yunmi Internet gas water heater (13L zero cold water),viomi.waterheater.u10,,,
740,G27_Smart Switch_Three Open_Down Button,,bull.switch.s312c,,,
741,Gosund Smart Switch-Three Open,"Smart wall switch, three open",cuco.switch.cs3,,,
742,Huai Su Ceiling Light,C3 Huai Su Ceiling Light,ldsn.light.hsxd02,,,
743,PTX intelligent touch switch three on (mesh),PTX Smart Touch Switch Three Open (MESH),090615.switch.ptxtc3,,,
744,XG Bluetooth Mesh Breaker,Realtek version,wainft.switch.sw0a02,,,
745,e108,One way gateway switch,ipuray.switch.e108,,,
746,Rhythm light strip,,coolki.light.uid59,,,
747,Smart light,,alive.light.alive1,,,
748,yeedi-k803,,yeedi.vacuum.k803,,,
749,FIVE sterilization rack,"Smart knife and chopsticks cutting board sterilization rack, the official product.",uvfive.steriliser.tiger,,,
750,King Pro,1.5P on-hook KFRd-35GW/KV2-C1,viomi.aircondition.v26,KFRd-35GW/KV2-C1,,auto
751,gsm_switch_two,GSM dual channel switch,coolki.switch.uiid29,,,
752,Midea infrared stickers,Midea infrared stickers,lumi.sensor_ir.v1,,,
753,Mi Router HD,Mi Router HD,xiaomi.router.r3d,,,
754,Mi Digital Thermometer,"Mijia Electronic Thermometer is a wireless electronic rod-shaped thermometer that can accurately measure human body temperature, distinguish different measuring persons, and record measurement history.",miaomiaoce.thermo.t10,,,
755,Multiplexer,"4-way and more than 4-way combination switch, including 4-key scene button",scmkcz.switch.4msw,,,
756,HUIZUO ARIES For Living Room,Huayihui made Aries living room series-ZT-light-square 72W,huayi.light.aries,,,
757,iCool 1H 1.5P,,viomi.aircondition.y34,,,
758,sensor,,zhimai.sensor_ht.zm003,,,
759,Small air conditioner,,tyzhjt.aircondition.air,,,
760,A300 Splendid Laser Projector,A300 Zhen color laser TV,fengmi.projector.l166,,,
761,SmartJoy zhijian wall switch (one key WiFi),SmartJoy Smart Wall Switch (Zero Fire One Button WiFi Version),smartj.switch.sjlh01,,,
762,Viomi instant heat pipeline machine (MG2-A),VIOMI Brand MG2 Instant Heat Pipeline Machine,yunmi.plmachine.mg2,,,
763,Zhiru Yiyun docking light,Zhiru Yiyun docking light,roome.light.v1,,,
764,Viomi Smart Integrated Stove,Yunmi Internet integrated stove,viomi.i_stove.v1,,,
765,Socket,socket,ezhome.plug.zhyapp07,,,
766,Qingping Door/Window Contact Sensor,Hodor,cgllc.magnet.hodor,,,
767,Plug socket,,ddwl.plug.010002,,,
768,Cloud access socket,Cloud access universal socket,ezhome.plug.yy0003,,,
769,CWRGB bulb light,,sykj.light.04000e,,,
770,NVC Smart Ceiling Lamp (ZhiZhen),W dimming Y color-bedroom series-X2,leishi.light.wy0c02,,,
771,outlet,,zhimai.plug.zm002,,,
772,Dimming light,,eide.light.tiaog,,,
773,PM sensor,,jyx.airm.030901,,,
774,Scenario WIFI dual color light,Le-style neutral version,leshi.light.wy0b01,,,
775,3-position smart switch,,simon.switch.sw3,,,
776,Yeelight LED Bulb 1S (Color),lemon2 IPL,yeelink.light.color4,YLDP13YL,? YLDP15YL,manual
777,Dooya Curtain,,dooya.curtain.m5,,,
778,WiFi Wall Switch A2,,babai.switch.bb102s,,,
779,Two-button Smart Switch (Mesh),Two-button smart switch-RTL8762-light touch,lemesh.switch.sw2a02,,,
780,xiaoya nano,Xiaoya nano speaker,xiaoya.wifispeaker.nano,,,
781,Mi Air Purifier 2S,"The upgraded version of Mi Air Purifier 2, the dust sensor is changed to a laser sensor, the PM2.5 value is displayed locally, and the RFID filter recognition function is added",zhimi.airpurifier.ma2,AC-M4-AA,,manual
782,light,light,hosjoy.light.hlig,,,
783,New fan,,p2c.airfresh.fresh,,,
784,PanPan Smart Clothes Rack,A smart clothes washing machine that can be controlled by Mijia and Xiaoai,dooya.airer.mjlyj,,,
785,Remote control master-wifi to infrared-smart light,Remote control master-wifi to infrared-smart light,coolki.light.yk0008,,,
786,Milano (Rou Feng) 1P,"erp code: 50.01.01.01.0045
69 yards: 6923185613565
Product model: KFRd-26GW/Y2QB4-A1",viomi.aircondition.y7,KFRd-26GW/Y2QB4-A1,,auto
787,Milano 1N 1P,"erp code: 50.01.01.01.0063
69 yards: 6923185615132
Product model: KFRd-26GW/Y2PD2-A1",viomi.aircondition.y27,KFRd-26GW/Y2PD2-A1,,auto
788,Sumi Bulb Light Lite,,xhuan.light.wy0a08,,,
789,BIGDIPPER Internet Integrated Cooker Appliance (model S of A1 disinfection cabinet),"Disinfection cabinet type integrated stove: It includes the functions of the disinfection cabinet, range hood, and cooker, and an integrated whole machine.",bdx.i_stove.a1xs,,,
790,Intelligent Moxibustion heater X8,,zdeer.ajh.zdx8,,,
791,Viomi Electric Water Heater VEW5016,MIOT-SPEC access,viomi.waterheater.e21,,,
792,Ola Mars,"The wooden door fingerprint lock provides fingerprint, mobile phone and key unlocking methods.The appearance is brief and easy to use.",ola.lock.i3,,,
793,air purifier,,tyzhjt.airpurifier.001,,,
794,TAIFOO Light Controler,,babai.light.tf31a,,,
795,viomi smart water purifier Fast3 1000G,,yunmi.waterpuri.f7,,,
796,Zero-fog low-temperature evaporative humidifier (upgrade),"This humidifier has the following features
1, safe without white powder,
2, the humidity is greater than 500ml / h,
3, no need for any consumables, easy to clean,
4, you can add boiling water directly,",shuii.humidifier.jsq002,,,
797,Baopu (DIM PP-Wired Version),,ldsn.light.2bpd18,,,
798,Electric Scooter,,ninebot.scooter.v1,,,
799,Viomi Internet refrigerator 21 face (side by side 450L),Yunmi Internet Refrigerator 21Face (with the door 450L),viomi.fridge.x4,,,
800,Mi Box 4S Pro,,xiaomi.tvbox.4prob1,,,
801,TV controller,,huazhu.tv.ir1,,,
802,Sanheng System,"Constant temperature, constant humidity, constant oxygen, smart",zkea.aircondition.zkea,,,
803,DGMK1,Embedded module,linked.light.ft116,,,
804,ZenMeasure Bluetooth Hygrometer Thermometer,"The thermometer and hygrometer with Bluetooth can remotely check the temperature.
Temperature measurement range: 0 C-+60 C
Temperature accuracy: ±0.3 C
Humidity measurement range: 0-100%
Humidity accuracy: ±3%RH",miaomiaoce.sensor_ht.h1,MHO-C201,,manual
805,Viomi Smart Water Purifier Fast3 (600G W),MIoT-Spec protocol access,yunmi.waterpuri.f2,,,
806,Smart clothing,Xiaoqidian Smart Clothing Care,huachu.dryer.xqd100,,,
807,3 Key Smart Switch WIFI X1,3-digit smart switch WiFi X1 version,leshi.switch.v0004,,,
808,Infrared TV,Infrared TV,konke2.tv.rmtv,,,
809,PTV30,,poer19.airrtc.ptv30,,,
810,DGMB4,Light panel four-way zero fire,linked.light.ft155,,,
811,intelligence bath heater,,xinzhi.bhf_light.zhyb01,,,
812,MrBond smart clothes dryer,,mrbond.airer.m1t,,,
813,CCT Bulb,,zengge.light.cct,,,
814,RGB Bulb,"RGB Bulb, RGBW bulb, RGB high voltage controller, don't do it temporarily, we will talk about it later",cydj.light.rgb,,,
815,IMILAB Intelligent Door Visual System H1,Xiaobai Smart Door Visual System H1,chuangmi.cateye.ipc508,,,
816,Leband Electric Sit-to-Stand Desk,More beautiful and smarter than conventional lifting tables!,17216.desk.lt001,,,
817,Milano 1N 1.5P,"erp code: 50.01.01.01.0061
Code 69: 6923185615156
Product model: KFRd-35GW/Y2PD2-A1",viomi.aircondition.y28,KFRd-35GW/Y2PD2-A1,,auto
818,socket,,jusval.plug.1,,,
819,Ruiboer Intelligent Lamp,33308-DBS isolation,rbe.light.wy0b01,,,
820,Aqara Smart Dimming Module T1 (0-10V),,lumi.light.t110,,,
821,RGB-LED,RGB light,ezhome.light.zhyapp09,,,
822,Desgeo smart fishbowl,,hfjh.fishbowl.v1,,,
823,Mi TV Bar,This product is a split TV host with only Bluetooth and no infrared,xiaomi.split_tv.b1,,,
824,Viomi Smart Water purifier Easy3 (600G),MIoT-Spec protocol access,yunmi.waterpuri.f5,,,
825,Scene Ble mesh light A,Two-color mesh light,lejia.light.33301,,,
826,switch_two,Dual channel switch,zhihw.switch.uiid7,,,
827,Intelligent feedback light panel (2-way),,zhijia.switch.dgmbl102,,,
828,Curtain motor Wi-Fi version,,xqh.curtain.a26211,,,
829,Babuy Smart Curtain,,babai.curtain.bb82mj,,,
830,Aqara Wireless Remote Switch D1 (Single Rocker),"The product is based on the currently available 86 wireless switch single button upgrade switch panel, buttons support: click, double click, long press.",lumi.remote.b186acn02,WXKG06LM,,manual
831,AllCenter Air Conditioning Series,AllCenter Smart Air Conditioner Series,umiot.aircondition.ums,,,
832,Mi 360 Home Security Camera 2K,Mi Smart Camera PTZ Version 2K Distribution Version,chuangmi.camera.029a02,,,
833,Light strip,,ddwl.light.04000a,,,
834,switch,,orvibo.switch.switch,,,
835,SDF,,heiman.aircondition.rc1,,,
836,Huai Su (DIM Single Head-Touch & Remote Control Version),,ldsn.light.2hsd15,,,
837,Viomi Washer Eyebot (12KG),MIoT-Spec protocol access,viomi.washer.v32,,,
838,Smart socket WiFi,,hsmart.plug.ws2sk,,,
839,90 urevo,Curie modular running shoes,desay.bleshoes.s311,,,
840,smartOutlet,,roome.plug.wallplug,,,
841,outlet_power,Power detection single channel socket,coolki.plug.uiid5,,,
842,Two-color light,Two-color light cr2l will be obsolete,scmkcz.light.cr2l,,,
843,Heatcold FCU thermostat,Air conditioning controller,cubee.airrtc.th125a,TH125A,,manual
844,ZSZM Intelligent ceiling lamp,Tree planting lighting Bluetooth mesh ceiling light,zszm.light.wy0a03,,,
845,Yunmi Internet gas water heater 1A (13L),Gas water heater (13L),viomi.waterheater.u1,,,
846,Shoes dryer,,htwl.dryer.v1,,,
847,Yeelight Smart Ceiling Fan C1060,DC 42,yeelink.light.fancl6,,,
848,air conditioning,Haoxiangjia Air Conditioner,hosjoy.aircondition.tt,,,
849,Two-button wall switch,,ddwl.switch.030002,,,
850,Beta build,Developer-only-8777 module,xiaomi.demo.v2,,,
851,CHINGMI Smart Power Strip,,qmi.powerstrip.v1,QMCXB01ZN,,manual
852,fan,,tyzhjt.fan.fs0001,,,
853,bulb,Bulb,golden.light.m002,,,
854,MTX Smart Curtain,,babai.curtain.mtx850,,,
855,Mi Smart Air Conditioner X (1.5HP / Inverter / New China Energy Label Level 1),,xiaomi.aircondition.mt2,,,
856,Viomi Smart Hood Hurri 2,Yunmi Internet Range Hood Hurri2,viomi.hood.h3,,,
857,Sumi B1 Bluetooth mesh switch (double key),,090615.switch.smb1s2,,,
858,PTX Intelligent Curtain Switch,"Flat-headed bear smart curtain switch, Mijia APP control, smart scene control!",090615.curtain.p01,,,
859,DVD remote control (infrared),DVD remote control (infrared),kongke.tv.irdvd,,,
860,Smart wall switch T1 (zero fire wire single key version),,lumi.switch.b1nacn01,,,
861,Mi Smart Ultra Electricity Saving Air Conditioner (1.5HP/Inverter/New China Energy Label Level 3),,xiaomi.aircondition.mc8,,,
862,switch_three,Three-channel switch,coolki.switch.three,,,
863,Curtain motor,,bright.curtain.curtai,,,
864,Set-top box,,deocea.stb.cq,,,
865,switch,switch,xzh.switch.onoff,,,
866,LONINK Two key switch (WiFi),,lonink.switch.ln085,,,
867,Domoticz-lamp,light,xkwl.light.dlight,,,
868,Midian Intelligent Bedside Healthy Lamp,"This product is a bedside lamp for healthy lighting and sleep aid.Using the self-developed silicon substrate long-wavelength LED core technology, it is 100% blue-free, does not hurt the eyes, helps sleep, and also has the function of waking up users regularly, and intelligently controlled through the Mijia APP to form a complete set of sleep-wake-upSolutions to provide users with the most comfortable sleeping environment.",noc196.light.mdctd9,,,
869,FreeTie Smart Sports Core,"A sports chip, put in the shoes, can record the user's daily running, walking, static and other information to help users analyze their sports status.",trios1.bleshoes.v02,,,
870,"Wall Switch (Single FireWire, Single Key Version) (US Version)",,lumi.switch.b1laus01,WS-USC01,,manual
871,Range hood EM52.i,,hzft.hood.em52i,,,
872,iCool 1R 1P,"erp code: 50.01.01.01.0125
69 yards: 6923185616795
Product model: KFRd-26GW/Y3PE3-A1",viomi.aircondition.y35,KFRd-26GW/Y3PE3-A1,,auto
873,Yashen Smart Massager,,jieman.magic_touch.ys02,,,
874,Philips ZhiYi ceiling lamp,Zhiyi Ceiling Light,philips.light.zyceiling,,,
875,Aqara Wireless Mini Switch (Advanced),"Aqara wireless switch upgrade version, support shake function",lumi.sensor_switch.aq3,WXKG12LM ,,manual
876,Smart Night Light,"The smart night light has the function of opening and closing, and the color of the night light can be set.",881878.light.znxyd,,,
877,Fresh air,,deocea.airfresh.deocea,,,
878,DreamMaker Fresh Air Ventilator,Dream maker owns new fan,dmaker.airfresh.dm2018,,,
879,Switch,"There are three types of smart switches: one-way/two-way/three-way. They are mainly used to connect traditional lamps or small appliances. They can be used in conjunction with the ""Shizaizhiguanjia"" APP to control lamps and appliances anytime and anywhere, making family life safer and more convenient.
The APP supports one-click scenario triggering, device linkage, and group control functions. It also supports local area network device sharing and cloud account device sharing, which is convenient for home users.",chuan.switch.0300,,,
880,Viomi Cleaning Robot,Yunmi overseas sweeper,viomi.vacuum.v6,,,
881,Three-line two-way switch,Three-line two-way switch,kuju02.light.52,,,
882,DESSMANN Facial recognition smart lock-Di R5,R5 smart door lock,dsm.lock.r5,,,
883,Sumi A1 Bluetooth mesh switch (double key),,090615.switch.smbt02,,,
884,IMI Home Security Camera 1080P Youth,Xiaobai Smart Camera Youth Edition Iteration,chuangmi.camera.ipc019b,,,
885,Five-color bulb light (104),,coolki.light.uid104,,,
886,Geeklink_Curtain,"Intelligent feedback curtains, which can be controlled manually or through APP sliding control. With the thinker mini, you can set the timing to open and close the curtains, and other linkage scenes",jilian.curtain.fm1,,,
887,Smart Wall Switch (Zero Fire Wire Three-Key Version),,lumi.switch.b3n01,,,
888,ZhiRui dimmable downlight,Zhirui LED downlight dimming version,philips.light.dlight,,,
889,Mi AI Alarm,"Desktop clock, smart home control",zimi.clock.myk01,AI01ZM,,manual
890,MiniJ Smart Wall-mounted Washer Dryer,Product model: V2-MZB (Pearl White),minij.washer.v17,,,
891,Midea Central Air Conditioning,,tc0756.aircondition.49b,,,
892,Tatajia Vacuum,,tab.vacuum.robot,,,
893,High power switch,High power switch,kuju02.plug.23,,,
894,Nnuodu Intelligent Living Room Lamp,Nuodu Smart Living Room Lamp,app.light.wynd1,,,
895,Cloud access light,Cloud access universal lights,ezhome.light.yy0002,,,
896,Viomi Smart Gas Water Heater Mate Pro 16L,MIOT-SPEC access,viomi.waterheater.u30,,,
897,light,,milamp.light.light,,,
898,Uclean smart toilet pure,"Instant hot cleaning, massage cleaning, warm air drying function, automatic flushing off the seat.",xjx.toilet.pure,,,
899,Wall touch switch 1,,creiot.switch.kg1,,,
900,Motor Controller,,cchome.wopener.tcq001,,,
901,16A Intelligent Air Conditioning Socket,,tt2019.aircondition.air,,,
902,viomi water purifier super 1200G,MioT SPEC protocol,yunmi.waterpuri.s10,,,
903,Single hole socket,Single hole socket,fine.plug.dc1,,,
904,Uodi Smart Doorbell R1,Photo doorbell,ydhome.cateye.pr1,,,
905,Nanoleaf ULP,,nnleaf.light.ulp,,,
906,Cloud access switch,Cloud access universal switch,ezhome.switch.yy0001,,,
907,Philips ZhiRui E27 bulb,Philips Zhirui Bulb Light,philips.light.bulb,,,
908,Terncy Wall Switch,,terncy.switch.ws01,,,
909,Viomi Smart Bath Heater PRO,,viomi.bhf_light.v3,,,
910,Mocie Mies 10S lighting,,micoe.airer.hz001z,,,
911,Viomi Instant Heating Water Dispenser,ESP32-WROOM-02D SPEC access,yunmi.kettle.r7,,,
912,LUNO Lvneng Mijia intelligent lamp,LUNO Green Energy Mijia Smart Light (Le-style Neutral),lndq.light.wy0a01,,,
913,Mijia Laser Projection TV 4K,4k laser projection TV,fengmi.projector.fm154k,,,
914,Mi AI Speaker Mini,Xiaoai speaker mini,xiaomi.wifispeaker.lx01,,,
915,vanward_gasheater,The control temperature range is 30-65 degrees,wanhe.waterheater.rr4,,,
916,Airer,"Embedded zigbee standard protocol module, ultra-low power consumption, ultra-long standby, and high stability.Multi-functional intelligent drying rack, real-time control of rising, falling, stopping and lighting functions of the rack, with complete intelligent drying functions such as disinfection, drying, and air drying.",feibit.airer.lch01sd,,,
917,Viomi Internet refrigerator iLive (side by side 545L),Yunmi Internet refrigerator ilive side door 545L,viomi.fridge.u7,,,
918,Mi Box,This product is a Xiaomi box with only Bluetooth and no infrared,xiaomi.tvbox.b1,,,
919,Smart touch switch three keys,,kiwik.switch.kt3,,,
920,Yeelight Wireless Switch S1,Yeelight Wireless Switch S1,yeelink.remote.remote,,,
921,Mi 4K TV 82,,xiaomi.tv.4kh1,,,
922,light,,hbkj1.light.v1,,,
923,7z Three-key Smart Switch,,gxhl.switch.7zsw13,,,
924,Yihuijia smart doors and windows,"Chengdu Yihuijia Technology Co., Ltd., smart door and window products",evecca.motor.tl001a,,,
925,Aqara Vibration Sensor T1,"AQARA moves back T1, built-in acceleration sensor, can sense tap and move, and link other smart devices through gateway devices.",lumi.vibration.agl01,,,
926,Yeelight Chuxin Ceiling Light A2001,Yeelight Ceiling Light A2001,yeelink.light.ceil29,,,
927,ZigBee One Panel Switch,,scinan.switch.panel,,,
928,thermostat,,sykj.aircondition.wkq0a,,,
929,IMI Home Security Camera A1,Xiaobai Smart Camera A1,chuangmi.camera.ipc019e,,,
930,Wireless switch,wireless switch,lumi.sensor_switch.v1,,?,manual
931,light,,girt.light.light,,,
932,fan,,edaltd.fan.fan,,,
933,IR remote,,xiaomi.phone_ir.v1,,,
934,aux-air condition,Hang up,aux.aircondition.test1,,,
935,Yunmi Quanxian Internet Water Purifier Xiaobailong 600G,,yunmi.waterpuri.s14,,,
936,RGBCW LED Controller,,zengge.light.rgbwc,,,
937,Milano 3P,"erp code: 50.01.01.02.0009
69 yards: 6923185612285
Product model: KFRd-72LW/Y4PC1-C3",viomi.aircondition.y4,KFRd-72LW/Y4PC1-C3,,auto
938,Air conditioner infrared remote control,IR-BOX air conditioner remote control,kiwik.aircondition.irac,,,
939,Dimming light,,fine.light.light1,,,
940,IMI AI Security Camera,Xiaoai classmate + camera function,chuangmi.camera.ipc007b,,,
941,Mi Kids Smartwatch 3,Mito Children's Phone Watch 3,xiaoxun.watch.v11,,,
942,Xiaoxun Inline Skate,Children's roller skates,xiaoxun.ro_skates.v1,,,
943,dooya,Smart curtains can control the progress of the journey,kongke.curtain.dooya,,,
944,Moyu Smart Baby Washing Machine,Moyu Smart Washing Machine,moyu.washer.s1hm,,,
945,switch,,permay.switch.kgkgk,,,
946,HUIZUO TAURUS For Bedroom,Taurus bedroom series made by Huayihui-023-ZA,huayi.light.tau023,,,
947,Mi Countertop Filtered Water Dispenser,,chunmi.ysj.tsa1,,,
948,ZDEER Moxibustion Box,,zdeer.ajh.a8,,,
949,Mi Home Security Camera 1080p (Magnetic Mount),Xiaomi Smart Camera Standard Edition,isa.camera.hlc6,,,
950,AUTORAIL Curtain Motor (WIFI),,babai.curtain.at5810,,,
951,Pak LED Smart Ceiling Lamp,Star elevator,pak.light.pak01,,,
952,Viomi Refrigerator (SBS630L),Android SDK access,viomi.fridge.x21,,,
953,Air box,,dnake.airm.aird,,,
954,The fog free of humidifier,"Low temperature evaporative humidifier is an upgrade of ultrasonic spray humidifier, and its core thinking is highlighted three basic experiences:
1, safe without white powder,
2, the room is very dry when the room can be rapidly humidified (the evaporation rate is greater than 500 ml / hour),
3, no need for any consumables, easy to clean.
In addition, the product can choose a warm air, and winter use will be more comfortable.When using special crowds such as pregnancy, you can choose to add boostering directly, more reliable than ultraviolet sterilization.
Advanced experience, I hope to access the millet platform to make the product more intelligent, humanized.",shuii.humidifier.jsq001,,,
955,8H Smart Adjustable Mattress,,qushui.bed.002,,,
956,Smart Module for Electric Switch,"The electric switch smart connector can be connected to watering devices, valves and sound and light alarms, with open and close functions",881878.switch.ddkgznljq,,,
957,Smart tubular motor T1,,lumi.curtain.vagl02,,,
958,NVC ceiling light,,nvcls.light.c209,,,
959,Electric fan,Xiaohei universal remote control smart electric fan through Xiaoai classmate,123888.fan.1121,,,
960,Infrared ceiling light,Infrared ceiling light,konke2.light.rmligh,,,
961,Aqara Wireless Relay Controller (2 Channels),"The dual-channel control module is a dual-channel power on-off control device with two built-in relays, which can control the power on and off of high-voltage products such as lights and motors, and then control their working status.",lumi.relay.c2acn01,LLKZMK11LM,,manual
962,Viomi Smart dishwahser 8 settings 0803A,MioT_SPEC protocol access,viomi.dishwasher.v08,,,
963,Rui Mi Car Bluetooth Player,Rui Mi Car Bluetooth Player,roidmi.btfm.v1,,,
964,curtain,Control the curtain stroke,pair.curtain.1,,,
965,PTX OneKey Switch (WIFI),"One-key mechanical key switch, Mijia APP control, Xiaoai classmate control, 2.4G LAN auxiliary control, free paste auxiliary control function!",090615.switch.xswitch01,,,
966,One way switch,,bright.switch.v100,,,
967,Mi Smart Socket Basic Edition (Expired),,chuangmi.plug.v2,ZNCZ02LM,,manual
968,BIGDIPPER Internet Integrated Cooker Appliance ( A1/C2 steam box),"Steam box type integrated stove: It includes the functions of steam box, range hood, and cooker, and an integrated whole machine.",bdx.i_stove.a1z,,,
969,Mi Desktop Air Purifier,personal use,zhimi.airpurifier.oa1,,,
970,Mi Smart Space Heater,Mijia fast thermal electric heater,zhimi.heater.ma1,,,
971,Smartmi Fresh Air System (Heating),Zhimi fresh air system adds electric auxiliary heat,zhimi.airfresh.va4,XFXTDFR02ZM,,manual
972,Monochrome lamp,"Smart monochromatic light, supports adjusting the brightness and color temperature of the light.",yszj.light.2210,,,
973,Mi Water Purifier S1,Mi Water Purifier S1 800G,yunmi.waterpuri.lx12,,,
974,16 relays module modbus version,32-way relay modbus interface version,pwzn.relay.banana,,,
975,Smart Toilet Lid-ZS320T,,ijomoo.toilet.zs320,,,
976,Yilai color temperature lamp,,yeelink.light.proct1,,,
977,smart light,smart light,zhu123.switch.1,,,
978,Fan infrared remote control,IR-BOX fan remote control,kiwik.fan.fan,,,
